Datetime,Close,High,Low,Open,Volume
2026-05-05 15:20:00+05:30,24041.849609375,24055.349609375,24039.349609375,24051.599609375,0
2026-05-05 15:25:00+05:30,24052.150390625,24059.69921875,24037.05078125,24042.0,0
2026-05-06 09:15:00+05:30,24175.80078125,24245.30078125,24171.349609375,24179.599609375,0
2026-05-06 09:20:00+05:30,24185.19921875,24201.94921875,24157.80078125,24179.19921875,0
2026-05-06 09:25:00+05:30,24171.599609375,24195.30078125,24164.94921875,24186.150390625,0
2026-05-06 09:30:00+05:30,24162.75,24185.25,24161.55078125,24174.599609375,0
2026-05-06 09:35:00+05:30,24153.0,24167.05078125,24150.75,24163.75,0
2026-05-06 09:40:00+05:30,24138.44921875,24155.400390625,24132.349609375,24154.5,0
2026-05-06 09:45:00+05:30,24136.900390625,24144.900390625,24133.44921875,24139.849609375,0
2026-05-06 09:50:00+05:30,24152.099609375,24152.30078125,24122.349609375,24137.55078125,0
2026-05-06 09:55:00+05:30,24140.30078125,24165.849609375,24138.900390625,24152.75,0
2026-05-06 10:00:00+05:30,24110.150390625,24140.599609375,24107.599609375,24140.599609375,0
2026-05-06 10:05:00+05:30,24107.0,24112.0,24096.5,24110.44921875,0
2026-05-06 10:10:00+05:30,24137.30078125,24141.599609375,24103.099609375,24107.099609375,0
2026-05-06 10:15:00+05:30,24137.5,24139.400390625,24121.75,24137.0,0
2026-05-06 10:20:00+05:30,24141.849609375,24155.400390625,24134.55078125,24137.05078125,0
2026-05-06 10:25:00+05:30,24136.400390625,24148.650390625,24136.150390625,24141.5,0
2026-05-06 10:30:00+05:30,24128.80078125,24144.0,24127.19921875,24135.5,0
2026-05-06 10:35:00+05:30,24124.44921875,24126.650390625,24111.900390625,24126.650390625,0
2026-05-06 10:40:00+05:30,24142.849609375,24150.150390625,24122.5,24123.69921875,0
2026-05-06 10:45:00+05:30,24129.650390625,24143.150390625,24126.25,24142.75,0
2026-05-06 10:50:00+05:30,24095.80078125,24130.5,24091.349609375,24129.349609375,0
2026-05-06 10:55:00+05:30,24095.75,24110.25,24092.400390625,24095.69921875,0
2026-05-06 11:00:00+05:30,24074.5,24104.650390625,24074.5,24095.94921875,0
2026-05-06 11:05:00+05:30,24098.30078125,24099.150390625,24073.55078125,24075.55078125,0
2026-05-06 11:10:00+05:30,24089.30078125,24098.900390625,24081.650390625,24098.900390625,0
2026-05-06 11:15:00+05:30,24087.05078125,24102.55078125,24085.099609375,24089.150390625,0
2026-05-06 11:20:00+05:30,24089.19921875,24101.599609375,24081.55078125,24084.80078125,0
2026-05-06 11:25:00+05:30,24112.5,24112.5,24086.599609375,24089.0,0
2026-05-06 11:30:00+05:30,24107.69921875,24117.349609375,24106.30078125,24111.94921875,0
2026-05-06 11:35:00+05:30,24078.5,24108.19921875,24069.69921875,24108.19921875,0
2026-05-06 11:40:00+05:30,24096.80078125,24100.30078125,24076.69921875,24076.80078125,0
2026-05-06 11:45:00+05:30,24107.69921875,24108.80078125,24090.599609375,24097.099609375,0
2026-05-06 11:50:00+05:30,24108.80078125,24109.349609375,24096.900390625,24107.75,0
2026-05-06 11:55:00+05:30,24097.349609375,24114.150390625,24095.5,24108.55078125,0
2026-05-06 12:00:00+05:30,24090.900390625,24099.75,24081.44921875,24097.19921875,0
2026-05-06 12:05:00+05:30,24084.400390625,24091.099609375,24075.349609375,24091.05078125,0
2026-05-06 12:10:00+05:30,24082.80078125,24086.94921875,24075.94921875,24084.69921875,0
2026-05-06 12:15:00+05:30,24074.25,24081.75,24061.80078125,24081.75,0
2026-05-06 12:20:00+05:30,24043.94921875,24073.44921875,24030.5,24072.599609375,0
2026-05-06 12:25:00+05:30,24054.650390625,24059.900390625,24039.349609375,24043.55078125,0
2026-05-06 12:30:00+05:30,24049.900390625,24055.5,24045.150390625,24054.150390625,0
2026-05-06 12:35:00+05:30,24036.650390625,24050.94921875,24033.19921875,24050.19921875,0
2026-05-06 12:40:00+05:30,24022.30078125,24043.44921875,24020.099609375,24036.05078125,0
2026-05-06 12:45:00+05:30,24018.30078125,24025.349609375,24006.400390625,24022.0,0
2026-05-06 12:50:00+05:30,24011.599609375,24023.44921875,23999.0,24017.55078125,0
2026-05-06 12:55:00+05:30,24023.099609375,24024.099609375,24009.80078125,24011.0,0
2026-05-06 13:00:00+05:30,24002.099609375,24023.5,23999.94921875,24022.650390625,0
2026-05-06 13:05:00+05:30,24038.900390625,24039.400390625,23999.650390625,24000.94921875,0
2026-05-06 13:10:00+05:30,24040.650390625,24044.150390625,24031.0,24038.69921875,0
2026-05-06 13:15:00+05:30,24063.44921875,24068.55078125,24036.30078125,24039.900390625,0
2026-05-06 13:20:00+05:30,24081.099609375,24085.80078125,24062.349609375,24063.80078125,0
2026-05-06 13:25:00+05:30,24075.349609375,24082.69921875,24070.599609375,24078.94921875,0
2026-05-06 13:30:00+05:30,24086.349609375,24093.0,24074.650390625,24076.599609375,0
2026-05-06 13:35:00+05:30,24103.55078125,24109.94921875,24084.150390625,24086.900390625,0
2026-05-06 13:40:00+05:30,24100.900390625,24108.099609375,24094.900390625,24102.44921875,0
2026-05-06 13:45:00+05:30,24102.75,24110.400390625,24094.150390625,24099.25,0
2026-05-06 13:50:00+05:30,24111.25,24115.94921875,24101.80078125,24102.44921875,0
2026-05-06 13:55:00+05:30,24106.94921875,24120.25,24101.900390625,24112.05078125,0
2026-05-06 14:00:00+05:30,24109.5,24117.099609375,24096.400390625,24106.80078125,0
2026-05-06 14:05:00+05:30,24109.349609375,24115.0,24103.75,24108.30078125,0
2026-05-06 14:10:00+05:30,24133.349609375,24133.349609375,24107.400390625,24108.0,0
2026-05-06 14:15:00+05:30,24141.150390625,24151.099609375,24133.400390625,24134.05078125,0
2026-05-06 14:20:00+05:30,24250.5,24254.25,24139.150390625,24140.400390625,0
2026-05-06 14:25:00+05:30,24311.650390625,24330.849609375,24252.05078125,24252.05078125,0
2026-05-06 14:30:00+05:30,24306.75,24333.05078125,24280.099609375,24314.69921875,0
2026-05-06 14:35:00+05:30,24300.44921875,24308.69921875,24277.900390625,24306.80078125,0
2026-05-06 14:40:00+05:30,24334.349609375,24336.5,24299.400390625,24300.400390625,0
2026-05-06 14:45:00+05:30,24349.30078125,24353.69921875,24320.80078125,24334.650390625,0
2026-05-06 14:50:00+05:30,24332.099609375,24355.55078125,24328.75,24348.849609375,0
2026-05-06 14:55:00+05:30,24348.25,24349.650390625,24324.650390625,24333.400390625,0
2026-05-06 15:00:00+05:30,24342.150390625,24353.80078125,24313.849609375,24349.0,0
2026-05-06 15:05:00+05:30,24315.5,24344.75,24314.05078125,24342.69921875,0
2026-05-06 15:10:00+05:30,24321.349609375,24330.94921875,24314.94921875,24316.55078125,0
2026-05-06 15:15:00+05:30,24330.650390625,24335.599609375,24317.05078125,24321.75,0
2026-05-06 15:20:00+05:30,24329.05078125,24331.150390625,24317.400390625,24331.150390625,0
2026-05-06 15:25:00+05:30,24339.30078125,24346.599609375,24325.599609375,24330.69921875,0
2026-05-07 09:15:00+05:30,24318.25,24418.900390625,24318.25,24398.5,0
2026-05-07 09:20:00+05:30,24335.349609375,24337.05078125,24300.69921875,24318.25,0
2026-05-07 09:25:00+05:30,24334.150390625,24346.75,24312.19921875,24334.900390625,0
2026-05-07 09:30:00+05:30,24356.69921875,24367.94921875,24320.150390625,24334.80078125,0
2026-05-07 09:35:00+05:30,24354.150390625,24372.55078125,24346.900390625,24356.150390625,0
2026-05-07 09:40:00+05:30,24397.349609375,24402.150390625,24354.80078125,24354.80078125,0
2026-05-07 09:45:00+05:30,24352.25,24401.400390625,24352.25,24396.900390625,0
2026-05-07 09:50:00+05:30,24335.19921875,24363.55078125,24325.650390625,24352.650390625,0
2026-05-07 09:55:00+05:30,24342.94921875,24354.150390625,24331.19921875,24337.349609375,0
2026-05-07 10:00:00+05:30,24370.25,24378.69921875,24340.150390625,24343.0,0
